datetime,total_vol
5/17/2010,9621
5/18/2010,7976
5/19/2010,13765
5/20/2010,3888
5/21/2010,6165
5/22/2010,46229
5/23/2010,35646
5/24/2010,7821
5/25/2010,8200
5/26/2010,13154
5/27/2010,11237
5/28/2010,13093
5/29/2010,14877
5/30/2010,12593
5/31/2010,3377
6/1/2010,7492
6/2/2010,9505
6/3/2010,8251
6/4/2010,22260
6/5/2010,4450
6/6/2010,5700
6/7/2010,20603
6/8/2010,19952
6/9/2010,17257
6/10/2010,31192
6/11/2010,7488
6/12/2010,7798
6/13/2010,6442
6/14/2010,13756
6/15/2010,18693
6/16/2010,5436
6/17/2010,27213
6/18/2010,2627
6/19/2010,45869
6/20/2010,13193
6/21/2010,6033
6/22/2010,7974
6/23/2010,7373
6/24/2010,24475
6/25/2010,8608
6/26/2010,23311
6/27/2010,11701
6/28/2010,19406
6/29/2010,29696
6/30/2010,27921
7/1/2010,32945
7/2/2010,20072
7/3/2010,98557
7/4/2010,12166
7/5/2010,50746
7/6/2010,28620
7/7/2010,42100
7/8/2010,4437
7/9/2010,6161
7/10/2010,14270
7/11/2010,19383
7/12/2010,74014
7/13/2010,41971
7/14/2010,42482
7/15/2010,55359
7/16/2010,40352
7/17/2010,29286
7/18/2010,24704
7/19/2010,34326
7/20/2010,13891
7/21/2010,18803
7/22/2010,23458
7/23/2010,15656
7/24/2010,28599
7/25/2010,20083
7/26/2010,27157
7/27/2010,63497
7/28/2010,24087
7/29/2010,56599
7/30/2010,23813
7/31/2010,15079
8/1/2010,11178
8/2/2010,14020
8/3/2010,16547
8/4/2010,27509
8/5/2010,18402
8/6/2010,16385
8/7/2010,15056
8/8/2010,11277
8/9/2010,25114
8/10/2010,54669
8/11/2010,43379
8/12/2010,22687
8/13/2010,21943
8/14/2010,11587
8/15/2010,13369
8/16/2010,18336
8/17/2010,48276
8/18/2010,35791
8/19/2010,13756
8/20/2010,21143
8/21/2010,17456
8/22/2010,29971
8/23/2010,11325
8/24/2010,11639
8/25/2010,7927
8/26/2010,18406
8/27/2010,9867
8/28/2010,24297
8/29/2010,10183
8/30/2010,12242
8/31/2010,36148
9/1/2010,10608
9/2/2010,17917
9/3/2010,27623
9/4/2010,31088
9/5/2010,13704
9/6/2010,38581
9/7/2010,21773
9/8/2010,12730
9/9/2010,16263
9/10/2010,10471
9/11/2010,8960
9/12/2010,14410
9/13/2010,22765
9/14/2010,21753
9/15/2010,27312
9/16/2010,20542
9/17/2010,29419
9/18/2010,64511
9/19/2010,47333
9/20/2010,37079
9/21/2010,19532
9/22/2010,29221
9/23/2010,52468
9/24/2010,33287
9/25/2010,17081
9/26/2010,17937
9/27/2010,23224
9/28/2010,36393
9/29/2010,75030
9/30/2010,23113
10/1/2010,37900
10/2/2010,26603
10/3/2010,308807
10/4/2010,52756
10/5/2010,102992
10/6/2010,47798
10/7/2010,113361
10/8/2010,141197
10/9/2010,119618
10/10/2010,100796
10/11/2010,44629
10/12/2010,53705
10/13/2010,20565
10/14/2010,54510
10/15/2010,61040
10/16/2010,88694
10/17/2010,42958
10/18/2010,35804
10/19/2010,26563
10/20/2010,53581
10/21/2010,61704
